URL	タイトル	巻次	シリーズ	版表示	著者	出版者	出版年	ISBN	冊数（ページ数・大きさ）	公開範囲	NDC分類	NDC分類（第８版）	NDC分類（第９版）	NDLC分類	件名（NDLSH）
http://dl.ndl.go.jp/info:ndljp/pid/3948672	"""ENVIRONMENTAL RESEARCH in JAPAN,1984"""						1985/10			インターネット公開（許諾）					
http://dl.ndl.go.jp/info:ndljp/pid/3948673	"""ENVIRONMENTAL RESEARCH in JAPAN,1986"""						1987/10			インターネット公開（許諾）					
http://dl.ndl.go.jp/info:ndljp/pid/3948674	"""ENVIRONMENTAL RESEARCH in JAPAN,1987"""						1988/09			インターネット公開（許諾）					
http://dl.ndl.go.jp/info:ndljp/pid/1901921	"Momiji-gari : jira bajo los arces : representacion del drama lirico""noh"" : en honor de la Mision Economica Espanola"					Kokusai Bunka Shinkokai	[1940]		30p ; 25cm	インターネット公開（保護期間満了）				KG163	
http://dl.ndl.go.jp/info:ndljp/pid/1117806	一二等局及特定三等局業務要覧	大正15･昭和元年度			逓信省 編	逓信省	昭和3-4			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/1117818	一二等局及特定三等局業務要覧	昭和2年度			逓信省 編	逓信省	昭和3-4			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/975861	一二等局業務要覧	大正7年度			逓信省通信局 編	逓信省通信局	大正9-12			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/975862	一二等局業務要覧	大正8年度			逓信省通信局 編	逓信省通信局	大正9-12			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/975863	一二等局業務要覧	大正10年度			逓信省通信局 編	逓信省通信局	大正9-12			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/1152434	一二等局業務要覧	 大正9年度			逓信省通信局 編	逓信省通信局	大正9-12			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/1075137	一二等局特定三等局業務要覧	昭和3年度			逓信省 編	逓信省	昭和5至9			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/1075145	一二等局特定三等局業務要覧	昭和4年度			逓信省 編	逓信省	昭和5至9			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/1075151	一二等局特定三等局業務要覧	昭和5年度			逓信省 編	逓信省	昭和5至9			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/1075160	一二等局特定三等局業務要覧	昭和6年度			逓信省 編	逓信省	昭和5至9			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/1075164	一二等局特定三等局業務要覧	昭和8年度			逓信省 編	逓信省	昭和5至9			インターネット公開（保護期間満了）	693				
http://dl.ndl.go.jp/info:ndljp/pid/1453136	一、二年生の基礎英作文				岡田実麿 著	青々書院	昭和14		251, 40p ; 19cm	インターネット公開（保護期間満了）	375.89				
http://dl.ndl.go.jp/info:ndljp/pid/1273322	一、二年生の急所を掴む漢文入門				森本和司 著	駸々堂書店	昭和8		366p ; 20cm	"インターネット公開（裁定） 著作権法第67条第1項により文化庁長官裁定を受けて公開 裁定年月日: 2017/02/06"	375.8				
http://dl.ndl.go.jp/info:ndljp/pid/1273298	一、二年生の急所を掴む植物学				山家鉄五郎 著	駸々堂書店	昭和9		343, 16p ; 19cm	"インターネット公開（裁定） 著作権法第67条第1項により文化庁長官裁定を受けて公開 裁定年月日: 2017/02/06"	375.4				
http://dl.ndl.go.jp/info:ndljp/pid/1027941	1と2				内田忠 著	椎の木社	昭和8		60p ; 22cm	インターネット公開（保護期間満了）	911.5				
